[2025-11-13 12:37:13 UTC] Integrator started. Poll interval: 30s
Thresholds: {'cpu': 80.0, 'memory': 80.0, 'disk': 90.0, 'net_recv_kbps': 5000.0, 'net_trans_kbps': 3000.0}
[2025-11-13 15:04:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:04:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:05:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:05:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:06:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:06:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:07:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:07:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:08:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:08:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:09:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:09:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:10:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:10:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:11:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:11:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:12:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:12:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:13:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:13:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:14:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:14:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:15:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:15:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:16:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:16:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:17:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:17:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:18:25 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:18:55 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
